run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.99,0.2,0.95,0.8,0.95,1000,-1.0,-78.388,78.388,0.986,1.6439762115478516
1,0.99,0.2,0.95,0.8,0.95,1000,-1.0,-67.654,67.654,1.0,1.6231679916381836
2,0.99,0.2,0.95,0.8,0.95,1000,-1.0,-68.448,68.448,1.0,1.5988743305206299
3,0.99,0.2,0.95,0.8,0.95,1000,-1.0,-92.692,92.692,0.966,1.6004724502563477
4,0.99,0.2,0.95,0.8,0.95,1000,-1.0,-84.414,84.414,0.99,1.6310136318206787
5,0.99,0.2,0.95,0.8,0.95,1000,-1.0,-77.526,77.526,0.994,1.6389780044555664
6,0.99,0.2,0.95,0.8,0.95,1000,-1.0,-64.634,64.634,1.0,1.6503477096557617
7,0.99,0.2,0.95,0.8,0.95,1000,-1.0,-76.706,76.706,0.986,1.6197130680084229
8,0.99,0.2,0.95,0.8,0.95,1000,-1.0,-84.044,84.044,0.996,1.666815996170044
9,0.99,0.2,0.95,0.8,0.95,1000,-1.0,-64.93,64.93,1.0,1.6349008083343506
10,0.99,0.2,0.95,0.8,0.95,1000,-1.0,-69.396,69.396,1.0,1.6490716934204102
11,0.99,0.2,0.95,0.8,0.95,1000,-1.0,-67.652,67.652,0.996,1.5809037685394287
12,0.99,0.2,0.95,0.8,0.95,1000,-1.0,-65.636,65.636,1.0,1.581178903579712
13,0.99,0.2,0.95,0.8,0.95,1000,-1.0,-70.108,70.108,0.998,1.655010461807251
14,0.99,0.2,0.95,0.8,0.95,1000,-1.0,-68.44,68.44,0.996,1.6350986957550049
15,0.99,0.2,0.95,0.8,0.95,1000,-1.0,-71.014,71.014,0.998,1.6501319408416748
16,0.99,0.2,0.95,0.8,0.95,1000,-1.0,-69.336,69.336,0.994,1.6693272590637207
17,0.99,0.2,0.95,0.8,0.95,1000,-1.0,-74.99,74.99,0.996,1.604750394821167
18,0.99,0.2,0.95,0.8,0.95,1000,-1.0,-73.224,73.224,0.998,1.617889642715454
19,0.99,0.2,0.95,0.8,0.95,1000,-1.0,-85.272,85.272,0.984,1.6352462768554688
