run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.7,0.5,0.9,0.95,0.99,1000,-1.0,-75.166,75.166,0.994,1.6995799541473389
1,0.7,0.5,0.9,0.95,0.99,1000,-1.0,-72.964,72.964,1.0,1.6985118389129639
2,0.7,0.5,0.9,0.95,0.99,1000,-1.0,-72.718,72.718,0.998,1.7429392337799072
3,0.7,0.5,0.9,0.95,0.99,1000,-1.0,-84.126,84.126,0.984,1.6699206829071045
4,0.7,0.5,0.9,0.95,0.99,1000,-1.0,-79.286,79.286,0.994,1.7413628101348877
5,0.7,0.5,0.9,0.95,0.99,1000,-1.0,-76.872,76.872,0.992,1.6634166240692139
6,0.7,0.5,0.9,0.95,0.99,1000,-1.0,-90.066,90.066,0.962,1.7338495254516602
7,0.7,0.5,0.9,0.95,0.99,1000,-1.0,-86.456,86.456,0.982,1.7238566875457764
8,0.7,0.5,0.9,0.95,0.99,1000,-1.0,-71.122,71.122,0.99,1.6836974620819092
9,0.7,0.5,0.9,0.95,0.99,1000,-1.0,-71.556,71.556,0.996,1.6547331809997559
10,0.7,0.5,0.9,0.95,0.99,1000,-1.0,-69.006,69.006,0.998,1.6951110363006592
11,0.7,0.5,0.9,0.95,0.99,1000,-1.0,-72.658,72.658,0.992,1.7074191570281982
12,0.7,0.5,0.9,0.95,0.99,1000,-1.0,-73.686,73.686,0.994,1.648289680480957
13,0.7,0.5,0.9,0.95,0.99,1000,-1.0,-78.516,78.516,0.988,1.7281506061553955
14,0.7,0.5,0.9,0.95,0.99,1000,-1.0,-79.01,79.01,0.992,1.7035627365112305
15,0.7,0.5,0.9,0.95,0.99,1000,-1.0,-82.886,82.886,0.988,1.6949067115783691
16,0.7,0.5,0.9,0.95,0.99,1000,-1.0,-91.316,91.316,0.976,1.707122802734375
17,0.7,0.5,0.9,0.95,0.99,1000,-1.0,-88.726,88.726,0.97,1.7307207584381104
18,0.7,0.5,0.9,0.95,0.99,1000,-1.0,-87.974,87.974,0.96,1.7249186038970947
19,0.7,0.5,0.9,0.95,0.99,1000,-1.0,-68.574,68.574,0.996,1.7671289443969727
