run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.99,0.2,0.99,0.99,0.99,1000,-1.0,-64.574,64.574,1.0,1.689344882965088
1,0.99,0.2,0.99,0.99,0.99,1000,-1.0,-76.866,76.866,0.99,1.6567904949188232
2,0.99,0.2,0.99,0.99,0.99,1000,-1.0,-68.002,68.002,1.0,1.6723313331604004
3,0.99,0.2,0.99,0.99,0.99,1000,-1.0,-75.366,75.366,0.996,1.637990951538086
4,0.99,0.2,0.99,0.99,0.99,1000,-1.0,-70.878,70.878,1.0,1.6705212593078613
5,0.99,0.2,0.99,0.99,0.99,1000,-1.0,-70.36,70.36,0.998,1.669957160949707
6,0.99,0.2,0.99,0.99,0.99,1000,-1.0,-67.966,67.966,0.996,1.6363565921783447
7,0.99,0.2,0.99,0.99,0.99,1000,-1.0,-79.53,79.53,0.986,1.6916892528533936
8,0.99,0.2,0.99,0.99,0.99,1000,-1.0,-69.95,69.95,1.0,1.6598286628723145
9,0.99,0.2,0.99,0.99,0.99,1000,-1.0,-64.378,64.378,0.996,1.6787960529327393
10,0.99,0.2,0.99,0.99,0.99,1000,-1.0,-74.24,74.24,0.996,1.6462433338165283
11,0.99,0.2,0.99,0.99,0.99,1000,-1.0,-83.242,83.242,0.982,1.6768617630004883
12,0.99,0.2,0.99,0.99,0.99,1000,-1.0,-72.636,72.636,0.996,1.6288447380065918
13,0.99,0.2,0.99,0.99,0.99,1000,-1.0,-68.476,68.476,0.998,1.7013945579528809
14,0.99,0.2,0.99,0.99,0.99,1000,-1.0,-68.348,68.348,1.0,1.6349976062774658
15,0.99,0.2,0.99,0.99,0.99,1000,-1.0,-84.13,84.13,0.984,1.7060558795928955
16,0.99,0.2,0.99,0.99,0.99,1000,-1.0,-69.456,69.456,0.998,1.702730417251587
17,0.99,0.2,0.99,0.99,0.99,1000,-1.0,-68.09,68.09,1.0,1.627507209777832
18,0.99,0.2,0.99,0.99,0.99,1000,-1.0,-73.94,73.94,0.994,1.6579196453094482
19,0.99,0.2,0.99,0.99,0.99,1000,-1.0,-77.016,77.016,0.992,1.7143471240997314
