run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.99,0.5,0.95,0.8,0.95,500,-1.0,-82.688,82.688,0.99,1.027451992034912
1,0.99,0.5,0.95,0.8,0.95,500,-1.0,-73.212,73.212,0.998,0.9756739139556885
2,0.99,0.5,0.95,0.8,0.95,500,-1.0,-109.296,109.296,0.928,0.9896044731140137
3,0.99,0.5,0.95,0.8,0.95,500,-1.0,-81.072,81.072,0.994,0.9975864887237549
4,0.99,0.5,0.95,0.8,0.95,500,-1.0,-73.07,73.07,1.0,0.9980671405792236
5,0.99,0.5,0.95,0.8,0.95,500,-1.0,-101.258,101.258,0.946,0.9961404800415039
6,0.99,0.5,0.95,0.8,0.95,500,-1.0,-72.996,72.996,0.998,0.9995954036712646
7,0.99,0.5,0.95,0.8,0.95,500,-1.0,-72.452,72.452,0.998,1.0009887218475342
8,0.99,0.5,0.95,0.8,0.95,500,-1.0,-101.236,101.236,0.934,0.9911811351776123
9,0.99,0.5,0.95,0.8,0.95,500,-1.0,-90.696,90.696,0.984,1.0008478164672852
10,0.99,0.5,0.95,0.8,0.95,500,-1.0,-75.242,75.242,0.998,1.035785436630249
11,0.99,0.5,0.95,0.8,0.95,500,-1.0,-79.772,79.772,0.988,0.969980001449585
12,0.99,0.5,0.95,0.8,0.95,500,-1.0,-82.202,82.202,0.976,0.9486501216888428
13,0.99,0.5,0.95,0.8,0.95,500,-1.0,-91.992,91.992,0.97,0.9750919342041016
14,0.99,0.5,0.95,0.8,0.95,500,-1.0,-86.076,86.076,0.988,0.991591215133667
15,0.99,0.5,0.95,0.8,0.95,500,-1.0,-69.842,69.842,1.0,0.9693024158477783
16,0.99,0.5,0.95,0.8,0.95,500,-1.0,-95.586,95.586,0.95,1.009049892425537
17,0.99,0.5,0.95,0.8,0.95,500,-1.0,-77.39,77.39,0.994,0.9923202991485596
18,0.99,0.5,0.95,0.8,0.95,500,-1.0,-122.748,122.748,0.834,0.9963362216949463
19,0.99,0.5,0.95,0.8,0.95,500,-1.0,-98.5,98.5,0.944,0.9617784023284912
