run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.99,0.2,0.95,0.8,0.999,1000,-1.0,-71.51,71.51,0.996,1.6210393905639648
1,0.99,0.2,0.95,0.8,0.999,1000,-1.0,-85.688,85.688,0.986,1.6255278587341309
2,0.99,0.2,0.95,0.8,0.999,1000,-1.0,-68.936,68.936,0.998,1.5607740879058838
3,0.99,0.2,0.95,0.8,0.999,1000,-1.0,-70.07,70.07,0.998,1.6306791305541992
4,0.99,0.2,0.95,0.8,0.999,1000,-1.0,-65.026,65.026,1.0,1.642944097518921
5,0.99,0.2,0.95,0.8,0.999,1000,-1.0,-64.37,64.37,0.998,1.6459357738494873
6,0.99,0.2,0.95,0.8,0.999,1000,-1.0,-100.608,100.608,0.92,1.5803353786468506
7,0.99,0.2,0.95,0.8,0.999,1000,-1.0,-71.54,71.54,0.998,1.6155738830566406
8,0.99,0.2,0.95,0.8,0.999,1000,-1.0,-78.794,78.794,0.99,1.579087495803833
9,0.99,0.2,0.95,0.8,0.999,1000,-1.0,-79.182,79.182,0.996,1.6026434898376465
10,0.99,0.2,0.95,0.8,0.999,1000,-1.0,-67.566,67.566,0.998,1.6657495498657227
11,0.99,0.2,0.95,0.8,0.999,1000,-1.0,-74.244,74.244,0.992,1.6529428958892822
12,0.99,0.2,0.95,0.8,0.999,1000,-1.0,-75.428,75.428,0.992,1.5837771892547607
13,0.99,0.2,0.95,0.8,0.999,1000,-1.0,-67.876,67.876,1.0,1.6482515335083008
14,0.99,0.2,0.95,0.8,0.999,1000,-1.0,-67.906,67.906,0.998,1.6194407939910889
15,0.99,0.2,0.95,0.8,0.999,1000,-1.0,-80.432,80.432,0.986,1.6050024032592773
16,0.99,0.2,0.95,0.8,0.999,1000,-1.0,-71.458,71.458,0.996,1.611973524093628
17,0.99,0.2,0.95,0.8,0.999,1000,-1.0,-69.324,69.324,1.0,1.5921823978424072
18,0.99,0.2,0.95,0.8,0.999,1000,-1.0,-68.49,68.49,1.0,1.5974531173706055
19,0.99,0.2,0.95,0.8,0.999,1000,-1.0,-77.122,77.122,0.992,1.5874686241149902
