run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.99,0.5,0.95,0.8,0.95,10000,-50.0,-168.97,67.396,0.998,12.230173826217651
1,0.99,0.5,0.95,0.8,0.95,10000,-50.0,-181.776,74.658,0.996,12.486667156219482
2,0.99,0.5,0.95,0.8,0.95,10000,-50.0,-171.482,67.73,0.998,12.22515058517456
3,0.99,0.5,0.95,0.8,0.95,10000,-50.0,-167.744,68.15,0.998,12.645367860794067
4,0.99,0.5,0.95,0.8,0.95,10000,-50.0,-166.642,69.82,0.998,12.489274263381958
5,0.99,0.5,0.95,0.8,0.95,10000,-50.0,-221.214,68.922,1.0,12.382382869720459
6,0.99,0.5,0.95,0.8,0.95,10000,-50.0,-177.796,76.42,0.996,12.336415529251099
7,0.99,0.5,0.95,0.8,0.95,10000,-50.0,-176.67,73.512,0.996,12.208146572113037
8,0.99,0.5,0.95,0.8,0.95,10000,-50.0,-171.806,72.806,0.992,12.498437404632568
9,0.99,0.5,0.95,0.8,0.95,10000,-50.0,-163.504,69.454,1.0,12.468305349349976
10,0.99,0.5,0.95,0.8,0.95,10000,-50.0,-149.882,68.108,0.998,12.430469512939453
11,0.99,0.5,0.95,0.8,0.95,10000,-50.0,-178.97,71.456,0.998,12.595625638961792
12,0.99,0.5,0.95,0.8,0.95,10000,-50.0,-161.778,64.164,1.0,12.4432692527771
13,0.99,0.5,0.95,0.8,0.95,10000,-50.0,-210.538,68.634,1.0,12.406565427780151
14,0.99,0.5,0.95,0.8,0.95,10000,-50.0,-173.178,69.426,0.998,12.577502965927124
15,0.99,0.5,0.95,0.8,0.95,10000,-50.0,-170.68,74.254,1.0,12.481178045272827
16,0.99,0.5,0.95,0.8,0.95,10000,-50.0,-181.09,68.032,1.0,12.462098121643066
17,0.99,0.5,0.95,0.8,0.95,10000,-50.0,-159.62,69.926,0.994,12.45817255973816
18,0.99,0.5,0.95,0.8,0.95,10000,-50.0,-160.292,69.41,0.996,12.211050271987915
19,0.99,0.5,0.95,0.8,0.95,10000,-50.0,-164.966,69.926,0.998,12.282450437545776
