run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.99,0.1,0.9,0.95,0.99,1000,-1.0,-72.502,72.502,0.996,1.6946277618408203
1,0.99,0.1,0.9,0.95,0.99,1000,-1.0,-90.776,90.776,0.966,1.734090805053711
2,0.99,0.1,0.9,0.95,0.99,1000,-1.0,-76.562,76.562,0.994,1.7197966575622559
3,0.99,0.1,0.9,0.95,0.99,1000,-1.0,-69.818,69.818,0.994,1.686347246170044
4,0.99,0.1,0.9,0.95,0.99,1000,-1.0,-67.998,67.998,1.0,1.677703619003296
5,0.99,0.1,0.9,0.95,0.99,1000,-1.0,-72.228,72.228,0.992,1.667799711227417
6,0.99,0.1,0.9,0.95,0.99,1000,-1.0,-74.728,74.728,1.0,1.650420904159546
7,0.99,0.1,0.9,0.95,0.99,1000,-1.0,-67.444,67.444,1.0,1.7506859302520752
8,0.99,0.1,0.9,0.95,0.99,1000,-1.0,-66.704,66.704,0.998,1.704810380935669
9,0.99,0.1,0.9,0.95,0.99,1000,-1.0,-70.562,70.562,1.0,1.7315974235534668
10,0.99,0.1,0.9,0.95,0.99,1000,-1.0,-70.718,70.718,1.0,1.6560413837432861
11,0.99,0.1,0.9,0.95,0.99,1000,-1.0,-75.286,75.286,0.998,1.7222118377685547
12,0.99,0.1,0.9,0.95,0.99,1000,-1.0,-88.374,88.374,0.972,1.7059364318847656
13,0.99,0.1,0.9,0.95,0.99,1000,-1.0,-68.1,68.1,1.0,1.7308645248413086
14,0.99,0.1,0.9,0.95,0.99,1000,-1.0,-73.46,73.46,0.996,1.7027678489685059
15,0.99,0.1,0.9,0.95,0.99,1000,-1.0,-72.586,72.586,0.99,1.691767930984497
16,0.99,0.1,0.9,0.95,0.99,1000,-1.0,-65.506,65.506,1.0,1.7180745601654053
17,0.99,0.1,0.9,0.95,0.99,1000,-1.0,-75.27,75.27,1.0,1.7527847290039062
18,0.99,0.1,0.9,0.95,0.99,1000,-1.0,-65.826,65.826,1.0,1.6877877712249756
19,0.99,0.1,0.9,0.95,0.99,1000,-1.0,-65.96,65.96,1.0,1.6751220226287842
