run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.99,0.5,0.95,0.8,0.999,1000,-1.0,-70.694,70.694,0.998,1.549565315246582
1,0.99,0.5,0.95,0.8,0.999,1000,-1.0,-69.646,69.646,1.0,1.47922945022583
2,0.99,0.5,0.95,0.8,0.999,1000,-1.0,-71.244,71.244,0.994,1.5474376678466797
3,0.99,0.5,0.95,0.8,0.999,1000,-1.0,-71.046,71.046,0.996,1.4908874034881592
4,0.99,0.5,0.95,0.8,0.999,1000,-1.0,-73.642,73.642,0.994,1.4778752326965332
5,0.99,0.5,0.95,0.8,0.999,1000,-1.0,-71.764,71.764,1.0,1.5408620834350586
6,0.99,0.5,0.95,0.8,0.999,1000,-1.0,-72.172,72.172,0.99,1.4843554496765137
7,0.99,0.5,0.95,0.8,0.999,1000,-1.0,-67.7,67.7,0.998,1.4734830856323242
8,0.99,0.5,0.95,0.8,0.999,1000,-1.0,-65.15,65.15,0.996,1.5380055904388428
9,0.99,0.5,0.95,0.8,0.999,1000,-1.0,-72.666,72.666,0.994,1.5553853511810303
10,0.99,0.5,0.95,0.8,0.999,1000,-1.0,-69.648,69.648,1.0,1.5831680297851562
11,0.99,0.5,0.95,0.8,0.999,1000,-1.0,-64.02,64.02,1.0,1.5425584316253662
12,0.99,0.5,0.95,0.8,0.999,1000,-1.0,-83.37,83.37,0.99,1.4497861862182617
13,0.99,0.5,0.95,0.8,0.999,1000,-1.0,-72.098,72.098,1.0,1.5701699256896973
14,0.99,0.5,0.95,0.8,0.999,1000,-1.0,-70.96,70.96,1.0,1.503091812133789
15,0.99,0.5,0.95,0.8,0.999,1000,-1.0,-71.772,71.772,1.0,1.4708647727966309
16,0.99,0.5,0.95,0.8,0.999,1000,-1.0,-66.86,66.86,1.0,1.4761943817138672
17,0.99,0.5,0.95,0.8,0.999,1000,-1.0,-67.208,67.208,1.0,1.5009582042694092
18,0.99,0.5,0.95,0.8,0.999,1000,-1.0,-66.176,66.176,0.996,1.4676713943481445
19,0.99,0.5,0.95,0.8,0.999,1000,-1.0,-66.974,66.974,0.998,1.5233371257781982
