run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.99,0.2,0.9,0.8,0.99,1000,-1.0,-80.386,80.386,0.992,1.5744414329528809
1,0.99,0.2,0.9,0.8,0.99,1000,-1.0,-75.06,75.06,0.996,1.6440937519073486
2,0.99,0.2,0.9,0.8,0.99,1000,-1.0,-68.69,68.69,0.998,1.611649751663208
3,0.99,0.2,0.9,0.8,0.99,1000,-1.0,-68.368,68.368,0.998,1.6032888889312744
4,0.99,0.2,0.9,0.8,0.99,1000,-1.0,-69.706,69.706,0.998,1.6115984916687012
5,0.99,0.2,0.9,0.8,0.99,1000,-1.0,-69.582,69.582,1.0,1.6779515743255615
6,0.99,0.2,0.9,0.8,0.99,1000,-1.0,-83.002,83.002,0.99,1.657663345336914
7,0.99,0.2,0.9,0.8,0.99,1000,-1.0,-64.586,64.586,0.998,1.6481502056121826
8,0.99,0.2,0.9,0.8,0.99,1000,-1.0,-65.856,65.856,1.0,1.627814769744873
9,0.99,0.2,0.9,0.8,0.99,1000,-1.0,-100.66,100.66,0.93,1.6710789203643799
10,0.99,0.2,0.9,0.8,0.99,1000,-1.0,-71.788,71.788,0.996,1.6371350288391113
11,0.99,0.2,0.9,0.8,0.99,1000,-1.0,-69.698,69.698,1.0,1.5822649002075195
12,0.99,0.2,0.9,0.8,0.99,1000,-1.0,-65.982,65.982,1.0,1.6029059886932373
13,0.99,0.2,0.9,0.8,0.99,1000,-1.0,-69.66,69.66,0.994,1.588289499282837
14,0.99,0.2,0.9,0.8,0.99,1000,-1.0,-66.502,66.502,1.0,1.6024787425994873
15,0.99,0.2,0.9,0.8,0.99,1000,-1.0,-71.882,71.882,0.994,1.5768554210662842
16,0.99,0.2,0.9,0.8,0.99,1000,-1.0,-65.896,65.896,1.0,1.5730113983154297
17,0.99,0.2,0.9,0.8,0.99,1000,-1.0,-78.524,78.524,0.988,1.6584031581878662
18,0.99,0.2,0.9,0.8,0.99,1000,-1.0,-69.272,69.272,1.0,1.6123631000518799
19,0.99,0.2,0.9,0.8,0.99,1000,-1.0,-69.042,69.042,1.0,1.6295561790466309
