run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.99,0.2,0.99,0.8,0.99,1000,-1.0,-76.418,76.418,0.992,1.6661062240600586
1,0.99,0.2,0.99,0.8,0.99,1000,-1.0,-65.414,65.414,1.0,1.6342718601226807
2,0.99,0.2,0.99,0.8,0.99,1000,-1.0,-79.382,79.382,0.99,1.6652381420135498
3,0.99,0.2,0.99,0.8,0.99,1000,-1.0,-70.526,70.526,1.0,1.5987749099731445
4,0.99,0.2,0.99,0.8,0.99,1000,-1.0,-71.692,71.692,0.996,1.703838586807251
5,0.99,0.2,0.99,0.8,0.99,1000,-1.0,-67.05,67.05,1.0,1.6693902015686035
6,0.99,0.2,0.99,0.8,0.99,1000,-1.0,-69.316,69.316,1.0,1.6532163619995117
7,0.99,0.2,0.99,0.8,0.99,1000,-1.0,-65.79,65.79,1.0,1.6392889022827148
8,0.99,0.2,0.99,0.8,0.99,1000,-1.0,-77.19,77.19,0.992,1.6576590538024902
9,0.99,0.2,0.99,0.8,0.99,1000,-1.0,-69.746,69.746,1.0,1.6043331623077393
10,0.99,0.2,0.99,0.8,0.99,1000,-1.0,-70.57,70.57,1.0,1.5604658126831055
11,0.99,0.2,0.99,0.8,0.99,1000,-1.0,-73.24,73.24,1.0,1.6175429821014404
12,0.99,0.2,0.99,0.8,0.99,1000,-1.0,-70.778,70.778,0.994,1.672715187072754
13,0.99,0.2,0.99,0.8,0.99,1000,-1.0,-80.58,80.58,0.978,1.6359670162200928
14,0.99,0.2,0.99,0.8,0.99,1000,-1.0,-69.882,69.882,0.998,1.6463696956634521
15,0.99,0.2,0.99,0.8,0.99,1000,-1.0,-67.812,67.812,1.0,1.6796720027923584
16,0.99,0.2,0.99,0.8,0.99,1000,-1.0,-80.406,80.406,0.998,1.6016051769256592
17,0.99,0.2,0.99,0.8,0.99,1000,-1.0,-69.678,69.678,1.0,1.6109702587127686
18,0.99,0.2,0.99,0.8,0.99,1000,-1.0,-75.84,75.84,0.994,1.5622849464416504
19,0.99,0.2,0.99,0.8,0.99,1000,-1.0,-71.104,71.104,0.99,1.6711416244506836
