run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.99,0.5,0.9,0.95,0.99,1000,-1.0,-74.414,74.414,0.996,1.7072243690490723
1,0.99,0.5,0.9,0.95,0.99,1000,-1.0,-74.412,74.412,1.0,1.6447007656097412
2,0.99,0.5,0.9,0.95,0.99,1000,-1.0,-88.172,88.172,0.974,1.6217646598815918
3,0.99,0.5,0.9,0.95,0.99,1000,-1.0,-67.73,67.73,1.0,1.6269078254699707
4,0.99,0.5,0.9,0.95,0.99,1000,-1.0,-70.15,70.15,0.996,1.5823252201080322
5,0.99,0.5,0.9,0.95,0.99,1000,-1.0,-72.826,72.826,0.996,1.5914556980133057
6,0.99,0.5,0.9,0.95,0.99,1000,-1.0,-79.654,79.654,0.992,1.613224983215332
7,0.99,0.5,0.9,0.95,0.99,1000,-1.0,-66.376,66.376,0.996,1.6176426410675049
8,0.99,0.5,0.9,0.95,0.99,1000,-1.0,-71.182,71.182,1.0,1.651198387145996
9,0.99,0.5,0.9,0.95,0.99,1000,-1.0,-71.22,71.22,0.998,1.6107771396636963
10,0.99,0.5,0.9,0.95,0.99,1000,-1.0,-85.76,85.76,0.982,1.6234683990478516
11,0.99,0.5,0.9,0.95,0.99,1000,-1.0,-76.304,76.304,0.994,1.6344523429870605
12,0.99,0.5,0.9,0.95,0.99,1000,-1.0,-67.432,67.432,0.998,1.6232149600982666
13,0.99,0.5,0.9,0.95,0.99,1000,-1.0,-76.308,76.308,0.992,1.636352300643921
14,0.99,0.5,0.9,0.95,0.99,1000,-1.0,-64.862,64.862,1.0,1.6425700187683105
15,0.99,0.5,0.9,0.95,0.99,1000,-1.0,-76.75,76.75,0.992,1.6456232070922852
16,0.99,0.5,0.9,0.95,0.99,1000,-1.0,-78.208,78.208,0.998,1.6164512634277344
17,0.99,0.5,0.9,0.95,0.99,1000,-1.0,-69.06,69.06,0.996,1.6307356357574463
18,0.99,0.5,0.9,0.95,0.99,1000,-1.0,-77.432,77.432,0.996,1.6697783470153809
19,0.99,0.5,0.9,0.95,0.99,1000,-1.0,-73.622,73.622,0.998,1.6780564785003662
