run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.99,0.2,0.95,0.99,0.99,1000,-1.0,-76.44,76.44,0.994,1.6353042125701904
1,0.99,0.2,0.95,0.99,0.99,1000,-1.0,-70.432,70.432,1.0,1.626924991607666
2,0.99,0.2,0.95,0.99,0.99,1000,-1.0,-74.762,74.762,0.998,1.6534135341644287
3,0.99,0.2,0.95,0.99,0.99,1000,-1.0,-68.862,68.862,0.994,1.6669492721557617
4,0.99,0.2,0.95,0.99,0.99,1000,-1.0,-70.516,70.516,0.994,1.6928112506866455
5,0.99,0.2,0.95,0.99,0.99,1000,-1.0,-82.656,82.656,0.988,1.6091108322143555
6,0.99,0.2,0.95,0.99,0.99,1000,-1.0,-64.784,64.784,1.0,1.5981438159942627
7,0.99,0.2,0.95,0.99,0.99,1000,-1.0,-71.564,71.564,0.994,1.6958706378936768
8,0.99,0.2,0.95,0.99,0.99,1000,-1.0,-82.842,82.842,0.98,1.7002699375152588
9,0.99,0.2,0.95,0.99,0.99,1000,-1.0,-66.6,66.6,1.0,1.6318485736846924
10,0.99,0.2,0.95,0.99,0.99,1000,-1.0,-71.994,71.994,1.0,1.64924955368042
11,0.99,0.2,0.95,0.99,0.99,1000,-1.0,-78.652,78.652,0.996,1.6386568546295166
12,0.99,0.2,0.95,0.99,0.99,1000,-1.0,-65.466,65.466,0.998,1.5871176719665527
13,0.99,0.2,0.95,0.99,0.99,1000,-1.0,-66.744,66.744,1.0,1.6574857234954834
14,0.99,0.2,0.95,0.99,0.99,1000,-1.0,-74.496,74.496,0.992,1.6761808395385742
15,0.99,0.2,0.95,0.99,0.99,1000,-1.0,-67.92,67.92,0.998,1.5956885814666748
16,0.99,0.2,0.95,0.99,0.99,1000,-1.0,-66.56,66.56,1.0,1.7833125591278076
17,0.99,0.2,0.95,0.99,0.99,1000,-1.0,-76.292,76.292,0.992,1.6186835765838623
18,0.99,0.2,0.95,0.99,0.99,1000,-1.0,-69.622,69.622,0.998,1.6155455112457275
19,0.99,0.2,0.95,0.99,0.99,1000,-1.0,-64.782,64.782,0.998,1.5968129634857178
