run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.95,0.5,0.9,0.95,0.99,1000,-1.0,-72.306,72.306,1.0,1.589618444442749
1,0.95,0.5,0.9,0.95,0.99,1000,-1.0,-64.85,64.85,1.0,1.60538649559021
2,0.95,0.5,0.9,0.95,0.99,1000,-1.0,-70.598,70.598,0.996,1.6087796688079834
3,0.95,0.5,0.9,0.95,0.99,1000,-1.0,-66.746,66.746,1.0,1.6301140785217285
4,0.95,0.5,0.9,0.95,0.99,1000,-1.0,-70.284,70.284,0.998,1.6150908470153809
5,0.95,0.5,0.9,0.95,0.99,1000,-1.0,-64.748,64.748,1.0,1.6449720859527588
6,0.95,0.5,0.9,0.95,0.99,1000,-1.0,-69.198,69.198,1.0,1.6211178302764893
7,0.95,0.5,0.9,0.95,0.99,1000,-1.0,-80.392,80.392,0.994,1.698042869567871
8,0.95,0.5,0.9,0.95,0.99,1000,-1.0,-69.416,69.416,0.996,1.6763279438018799
9,0.95,0.5,0.9,0.95,0.99,1000,-1.0,-71.512,71.512,0.996,1.637026071548462
10,0.95,0.5,0.9,0.95,0.99,1000,-1.0,-69.822,69.822,1.0,1.7015862464904785
11,0.95,0.5,0.9,0.95,0.99,1000,-1.0,-79.23,79.23,0.986,1.7148163318634033
12,0.95,0.5,0.9,0.95,0.99,1000,-1.0,-68.5,68.5,1.0,1.6758863925933838
13,0.95,0.5,0.9,0.95,0.99,1000,-1.0,-69.396,69.396,0.994,1.6565380096435547
14,0.95,0.5,0.9,0.95,0.99,1000,-1.0,-65.922,65.922,0.996,1.6114327907562256
15,0.95,0.5,0.9,0.95,0.99,1000,-1.0,-70.322,70.322,0.998,1.6656944751739502
16,0.95,0.5,0.9,0.95,0.99,1000,-1.0,-81.98,81.98,0.984,1.661006212234497
17,0.95,0.5,0.9,0.95,0.99,1000,-1.0,-72.372,72.372,0.998,1.6487934589385986
18,0.95,0.5,0.9,0.95,0.99,1000,-1.0,-69.374,69.374,0.994,1.6976935863494873
19,0.95,0.5,0.9,0.95,0.99,1000,-1.0,-73.03,73.03,1.0,1.6214613914489746
