run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.99,0.5,0.95,0.8,0.95,1000,-1.0,-66.516,66.516,1.0,1.636692762374878
1,0.99,0.5,0.95,0.8,0.95,1000,-1.0,-68.19,68.19,0.998,1.6168475151062012
2,0.99,0.5,0.95,0.8,0.95,1000,-1.0,-80.39,80.39,0.994,1.668017864227295
3,0.99,0.5,0.95,0.8,0.95,1000,-1.0,-67.054,67.054,1.0,1.641624927520752
4,0.99,0.5,0.95,0.8,0.95,1000,-1.0,-67.314,67.314,1.0,1.5615148544311523
5,0.99,0.5,0.95,0.8,0.95,1000,-1.0,-69.998,69.998,0.998,1.6099600791931152
6,0.99,0.5,0.95,0.8,0.95,1000,-1.0,-71.224,71.224,0.998,1.6153690814971924
7,0.99,0.5,0.95,0.8,0.95,1000,-1.0,-71.372,71.372,0.998,1.596757411956787
8,0.99,0.5,0.95,0.8,0.95,1000,-1.0,-74.318,74.318,0.994,1.5780339241027832
9,0.99,0.5,0.95,0.8,0.95,1000,-1.0,-77.86,77.86,0.996,1.6466045379638672
10,0.99,0.5,0.95,0.8,0.95,1000,-1.0,-67.072,67.072,1.0,1.6279816627502441
11,0.99,0.5,0.95,0.8,0.95,1000,-1.0,-68.81,68.81,0.998,1.637467384338379
12,0.99,0.5,0.95,0.8,0.95,1000,-1.0,-66.206,66.206,1.0,1.6472516059875488
13,0.99,0.5,0.95,0.8,0.95,1000,-1.0,-66.288,66.288,1.0,1.6080975532531738
14,0.99,0.5,0.95,0.8,0.95,1000,-1.0,-63.53,63.53,1.0,1.6570932865142822
15,0.99,0.5,0.95,0.8,0.95,1000,-1.0,-69.436,69.436,0.996,1.627234935760498
16,0.99,0.5,0.95,0.8,0.95,1000,-1.0,-74.166,74.166,1.0,1.6184172630310059
17,0.99,0.5,0.95,0.8,0.95,1000,-1.0,-84.422,84.422,0.992,1.6539077758789062
18,0.99,0.5,0.95,0.8,0.95,1000,-1.0,-68.298,68.298,1.0,1.6218793392181396
19,0.99,0.5,0.95,0.8,0.95,1000,-1.0,-68.54,68.54,1.0,1.6244580745697021
