run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.99,0.2,0.95,0.8,0.99,1000,-1.0,-68.84,68.84,1.0,1.6170287132263184
1,0.99,0.2,0.95,0.8,0.99,1000,-1.0,-67.728,67.728,0.996,1.6756584644317627
2,0.99,0.2,0.95,0.8,0.99,1000,-1.0,-69.286,69.286,0.994,1.630059003829956
3,0.99,0.2,0.95,0.8,0.99,1000,-1.0,-67.95,67.95,0.998,1.716583013534546
4,0.99,0.2,0.95,0.8,0.99,1000,-1.0,-67.736,67.736,1.0,1.6444978713989258
5,0.99,0.2,0.95,0.8,0.99,1000,-1.0,-71.57,71.57,0.994,1.631307601928711
6,0.99,0.2,0.95,0.8,0.99,1000,-1.0,-68.038,68.038,1.0,1.655153751373291
7,0.99,0.2,0.95,0.8,0.99,1000,-1.0,-65.606,65.606,1.0,1.5853042602539062
8,0.99,0.2,0.95,0.8,0.99,1000,-1.0,-65.496,65.496,1.0,1.623290777206421
9,0.99,0.2,0.95,0.8,0.99,1000,-1.0,-68.922,68.922,1.0,1.601750373840332
10,0.99,0.2,0.95,0.8,0.99,1000,-1.0,-72.066,72.066,0.994,1.6220152378082275
11,0.99,0.2,0.95,0.8,0.99,1000,-1.0,-72.784,72.784,0.99,1.6191232204437256
12,0.99,0.2,0.95,0.8,0.99,1000,-1.0,-63.914,63.914,0.998,1.6181280612945557
13,0.99,0.2,0.95,0.8,0.99,1000,-1.0,-69.082,69.082,0.996,1.5989186763763428
14,0.99,0.2,0.95,0.8,0.99,1000,-1.0,-67.374,67.374,1.0,1.6531834602355957
15,0.99,0.2,0.95,0.8,0.99,1000,-1.0,-70.518,70.518,1.0,1.6684370040893555
16,0.99,0.2,0.95,0.8,0.99,1000,-1.0,-74.452,74.452,0.992,1.645218849182129
17,0.99,0.2,0.95,0.8,0.99,1000,-1.0,-71.232,71.232,0.998,1.6027047634124756
18,0.99,0.2,0.95,0.8,0.99,1000,-1.0,-70.804,70.804,0.996,1.6500437259674072
19,0.99,0.2,0.95,0.8,0.99,1000,-1.0,-64.378,64.378,0.998,1.6131751537322998
