run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.99,0.8,0.9,0.95,0.99,1000,-1.0,-69.916,69.916,0.996,1.6503963470458984
1,0.99,0.8,0.9,0.95,0.99,1000,-1.0,-75.132,75.132,0.996,1.5621733665466309
2,0.99,0.8,0.9,0.95,0.99,1000,-1.0,-64.046,64.046,1.0,1.6080207824707031
3,0.99,0.8,0.9,0.95,0.99,1000,-1.0,-73.012,73.012,0.998,1.609811782836914
4,0.99,0.8,0.9,0.95,0.99,1000,-1.0,-71.468,71.468,1.0,1.615851879119873
5,0.99,0.8,0.9,0.95,0.99,1000,-1.0,-69.27,69.27,0.998,1.6536669731140137
6,0.99,0.8,0.9,0.95,0.99,1000,-1.0,-69.544,69.544,1.0,1.5699474811553955
7,0.99,0.8,0.9,0.95,0.99,1000,-1.0,-66.99,66.99,0.998,1.6155624389648438
8,0.99,0.8,0.9,0.95,0.99,1000,-1.0,-68.12,68.12,1.0,1.616011619567871
9,0.99,0.8,0.9,0.95,0.99,1000,-1.0,-77.484,77.484,0.988,1.591346025466919
10,0.99,0.8,0.9,0.95,0.99,1000,-1.0,-70.056,70.056,1.0,1.586580753326416
11,0.99,0.8,0.9,0.95,0.99,1000,-1.0,-68.74,68.74,1.0,1.5850601196289062
12,0.99,0.8,0.9,0.95,0.99,1000,-1.0,-77.58,77.58,0.986,1.6790120601654053
13,0.99,0.8,0.9,0.95,0.99,1000,-1.0,-78.062,78.062,0.996,1.6511638164520264
14,0.99,0.8,0.9,0.95,0.99,1000,-1.0,-72.508,72.508,0.994,1.6347169876098633
15,0.99,0.8,0.9,0.95,0.99,1000,-1.0,-67.664,67.664,1.0,1.61110258102417
16,0.99,0.8,0.9,0.95,0.99,1000,-1.0,-77.242,77.242,0.994,1.5654044151306152
17,0.99,0.8,0.9,0.95,0.99,1000,-1.0,-75.288,75.288,0.992,1.6378886699676514
18,0.99,0.8,0.9,0.95,0.99,1000,-1.0,-66.598,66.598,0.998,1.6714668273925781
19,0.99,0.8,0.9,0.95,0.99,1000,-1.0,-66.548,66.548,1.0,1.610715389251709
