run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.9,0.1,0.9,0.95,0.99,1000,-1.0,-75.724,75.724,0.996,1.6727488040924072
1,0.9,0.1,0.9,0.95,0.99,1000,-1.0,-74.304,74.304,0.986,1.6902198791503906
2,0.9,0.1,0.9,0.95,0.99,1000,-1.0,-97.27,97.27,0.94,1.6609466075897217
3,0.9,0.1,0.9,0.95,0.99,1000,-1.0,-69.978,69.978,0.998,1.6976826190948486
4,0.9,0.1,0.9,0.95,0.99,1000,-1.0,-76.016,76.016,0.998,1.6564114093780518
5,0.9,0.1,0.9,0.95,0.99,1000,-1.0,-76.402,76.402,0.986,1.6711804866790771
6,0.9,0.1,0.9,0.95,0.99,1000,-1.0,-72.13,72.13,1.0,1.6522281169891357
7,0.9,0.1,0.9,0.95,0.99,1000,-1.0,-67.256,67.256,1.0,1.622664213180542
8,0.9,0.1,0.9,0.95,0.99,1000,-1.0,-76.872,76.872,0.998,1.6402842998504639
9,0.9,0.1,0.9,0.95,0.99,1000,-1.0,-66.574,66.574,1.0,1.6107568740844727
10,0.9,0.1,0.9,0.95,0.99,1000,-1.0,-72.194,72.194,0.994,1.667170524597168
11,0.9,0.1,0.9,0.95,0.99,1000,-1.0,-69.102,69.102,0.996,1.6966371536254883
12,0.9,0.1,0.9,0.95,0.99,1000,-1.0,-65.574,65.574,1.0,1.6622614860534668
13,0.9,0.1,0.9,0.95,0.99,1000,-1.0,-68.28,68.28,1.0,1.7145190238952637
14,0.9,0.1,0.9,0.95,0.99,1000,-1.0,-67.374,67.374,0.998,1.5954983234405518
15,0.9,0.1,0.9,0.95,0.99,1000,-1.0,-80.958,80.958,0.984,1.6715290546417236
16,0.9,0.1,0.9,0.95,0.99,1000,-1.0,-69.326,69.326,0.996,1.7105317115783691
17,0.9,0.1,0.9,0.95,0.99,1000,-1.0,-65.802,65.802,0.998,1.6127393245697021
18,0.9,0.1,0.9,0.95,0.99,1000,-1.0,-65.98,65.98,1.0,1.658372163772583
19,0.9,0.1,0.9,0.95,0.99,1000,-1.0,-67.472,67.472,1.0,1.6783251762390137
