run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.99,0.5,0.95,0.8,0.99,10000,-10.0,-100.328,72.986,0.998,12.36419939994812
1,0.99,0.5,0.95,0.8,0.99,10000,-10.0,-110.514,82.29,0.978,12.189379215240479
2,0.99,0.5,0.95,0.8,0.99,10000,-10.0,-94.112,67.454,1.0,12.573721885681152
3,0.99,0.5,0.95,0.8,0.99,10000,-10.0,-104.532,76.452,0.988,12.639219045639038
4,0.99,0.5,0.95,0.8,0.99,10000,-10.0,-91.894,65.866,1.0,12.477181196212769
5,0.99,0.5,0.95,0.8,0.99,10000,-10.0,-93.054,66.522,0.998,12.427594423294067
6,0.99,0.5,0.95,0.8,0.99,10000,-10.0,-95.694,69.054,0.996,12.51905369758606
7,0.99,0.5,0.95,0.8,0.99,10000,-10.0,-102.472,73.708,0.992,12.545577049255371
8,0.99,0.5,0.95,0.8,0.99,10000,-10.0,-94.228,67.444,1.0,12.505103349685669
9,0.99,0.5,0.95,0.8,0.99,10000,-10.0,-102.032,76.022,0.996,12.570536613464355
10,0.99,0.5,0.95,0.8,0.99,10000,-10.0,-93.542,66.416,1.0,12.455154657363892
11,0.99,0.5,0.95,0.8,0.99,10000,-10.0,-97.68,68.862,1.0,12.488557815551758
12,0.99,0.5,0.95,0.8,0.99,10000,-10.0,-96.87,69.294,1.0,12.563371896743774
13,0.99,0.5,0.95,0.8,0.99,10000,-10.0,-93.262,65.344,0.998,12.25005292892456
14,0.99,0.5,0.95,0.8,0.99,10000,-10.0,-90.24,64.41,0.998,12.37848949432373
15,0.99,0.5,0.95,0.8,0.99,10000,-10.0,-97.754,70.322,0.998,12.589246034622192
16,0.99,0.5,0.95,0.8,0.99,10000,-10.0,-93.166,64.978,1.0,12.473827600479126
17,0.99,0.5,0.95,0.8,0.99,10000,-10.0,-91.22,65.102,1.0,12.494653224945068
18,0.99,0.5,0.95,0.8,0.99,10000,-10.0,-93.876,66.984,1.0,12.259826421737671
19,0.99,0.5,0.95,0.8,0.99,10000,-10.0,-103.95,76.158,0.992,12.533416032791138
