run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.99,0.5,0.95,0.8,0.95,10000,-2.0,-70.01,67.004,0.996,12.492581605911255
1,0.99,0.5,0.95,0.8,0.95,10000,-2.0,-70.56,67.46,1.0,12.210970163345337
2,0.99,0.5,0.95,0.8,0.95,10000,-2.0,-82.11,79.218,0.986,12.249945878982544
3,0.99,0.5,0.95,0.8,0.95,10000,-2.0,-68.924,65.974,1.0,12.423820972442627
4,0.99,0.5,0.95,0.8,0.95,10000,-2.0,-84.094,81.034,0.978,12.297429323196411
5,0.99,0.5,0.95,0.8,0.95,10000,-2.0,-75.942,72.892,0.996,12.509539365768433
6,0.99,0.5,0.95,0.8,0.95,10000,-2.0,-69.688,66.59,0.998,12.399258613586426
7,0.99,0.5,0.95,0.8,0.95,10000,-2.0,-70.83,67.884,0.996,12.388623476028442
8,0.99,0.5,0.95,0.8,0.95,10000,-2.0,-76.69,73.626,0.994,12.429835081100464
9,0.99,0.5,0.95,0.8,0.95,10000,-2.0,-80.796,77.79,0.998,12.655394315719604
10,0.99,0.5,0.95,0.8,0.95,10000,-2.0,-80.442,77.482,0.996,12.359750747680664
11,0.99,0.5,0.95,0.8,0.95,10000,-2.0,-73.394,70.382,0.994,12.461114168167114
12,0.99,0.5,0.95,0.8,0.95,10000,-2.0,-83.88,80.82,0.988,12.485616445541382
13,0.99,0.5,0.95,0.8,0.95,10000,-2.0,-78.848,75.74,0.996,12.374052047729492
14,0.99,0.5,0.95,0.8,0.95,10000,-2.0,-72.178,69.202,1.0,12.536904096603394
15,0.99,0.5,0.95,0.8,0.95,10000,-2.0,-72.918,69.972,0.996,12.514892101287842
16,0.99,0.5,0.95,0.8,0.95,10000,-2.0,-69.37,66.36,1.0,12.314486980438232
17,0.99,0.5,0.95,0.8,0.95,10000,-2.0,-81.45,73.902,0.998,12.484137535095215
18,0.99,0.5,0.95,0.8,0.95,10000,-2.0,-69.834,66.898,1.0,12.32390284538269
19,0.99,0.5,0.95,0.8,0.95,10000,-2.0,-83.1,76.054,0.998,12.503457069396973
