run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.99,0.5,0.95,0.8,0.99,10000,-2.0,-70.35,67.412,1.0,12.620537042617798
1,0.99,0.5,0.95,0.8,0.99,10000,-2.0,-71.68,68.696,0.998,12.399333477020264
2,0.99,0.5,0.95,0.8,0.99,10000,-2.0,-84.326,81.274,0.992,12.436371564865112
3,0.99,0.5,0.95,0.8,0.99,10000,-2.0,-75.684,72.592,0.996,12.409588098526001
4,0.99,0.5,0.95,0.8,0.99,10000,-2.0,-73.726,70.738,0.99,12.326411962509155
5,0.99,0.5,0.95,0.8,0.99,10000,-2.0,-70.096,67.088,1.0,12.472890853881836
6,0.99,0.5,0.95,0.8,0.99,10000,-2.0,-70.884,67.838,1.0,12.518547058105469
7,0.99,0.5,0.95,0.8,0.99,10000,-2.0,-69.874,66.876,1.0,12.641186475753784
8,0.99,0.5,0.95,0.8,0.99,10000,-2.0,-73.2,70.11,1.0,12.305879592895508
9,0.99,0.5,0.95,0.8,0.99,10000,-2.0,-78.84,75.448,0.99,12.722127437591553
10,0.99,0.5,0.95,0.8,0.99,10000,-2.0,-80.468,77.616,1.0,12.407989501953125
11,0.99,0.5,0.95,0.8,0.99,10000,-2.0,-70.106,66.962,0.998,12.481441497802734
12,0.99,0.5,0.95,0.8,0.99,10000,-2.0,-72.834,69.882,0.994,12.486934423446655
13,0.99,0.5,0.95,0.8,0.99,10000,-2.0,-75.826,72.836,0.998,12.308545589447021
14,0.99,0.5,0.95,0.8,0.99,10000,-2.0,-72.664,69.578,0.998,12.51202130317688
15,0.99,0.5,0.95,0.8,0.99,10000,-2.0,-69.246,66.306,0.998,12.705486297607422
16,0.99,0.5,0.95,0.8,0.99,10000,-2.0,-75.21,72.286,0.996,12.313801288604736
17,0.99,0.5,0.95,0.8,0.99,10000,-2.0,-79.402,76.38,0.998,12.757169961929321
18,0.99,0.5,0.95,0.8,0.99,10000,-2.0,-79.406,76.372,0.998,12.428415060043335
19,0.99,0.5,0.95,0.8,0.99,10000,-2.0,-67.724,64.588,1.0,12.35014796257019
