run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.99,0.2,0.7,0.99,0.99,1000,-1.0,-64.878,64.878,1.0,1.5994670391082764
1,0.99,0.2,0.7,0.99,0.99,1000,-1.0,-71.76,71.76,0.996,1.5949435234069824
2,0.99,0.2,0.7,0.99,0.99,1000,-1.0,-71.532,71.532,0.996,1.6320767402648926
3,0.99,0.2,0.7,0.99,0.99,1000,-1.0,-69.974,69.974,1.0,1.6138014793395996
4,0.99,0.2,0.7,0.99,0.99,1000,-1.0,-68.658,68.658,0.998,1.6364226341247559
5,0.99,0.2,0.7,0.99,0.99,1000,-1.0,-68.508,68.508,1.0,1.6151297092437744
6,0.99,0.2,0.7,0.99,0.99,1000,-1.0,-73.152,73.152,0.996,1.6181044578552246
7,0.99,0.2,0.7,0.99,0.99,1000,-1.0,-67.584,67.584,0.998,1.6316993236541748
8,0.99,0.2,0.7,0.99,0.99,1000,-1.0,-68.75,68.75,1.0,1.646008014678955
9,0.99,0.2,0.7,0.99,0.99,1000,-1.0,-72.124,72.124,0.996,1.6994242668151855
10,0.99,0.2,0.7,0.99,0.99,1000,-1.0,-70.116,70.116,1.0,1.6866917610168457
11,0.99,0.2,0.7,0.99,0.99,1000,-1.0,-70.342,70.342,0.998,1.6324412822723389
12,0.99,0.2,0.7,0.99,0.99,1000,-1.0,-65.586,65.586,1.0,1.5836153030395508
13,0.99,0.2,0.7,0.99,0.99,1000,-1.0,-70.766,70.766,0.998,1.656921625137329
14,0.99,0.2,0.7,0.99,0.99,1000,-1.0,-115.27,115.27,0.838,1.6167488098144531
15,0.99,0.2,0.7,0.99,0.99,1000,-1.0,-66.624,66.624,1.0,1.6077144145965576
16,0.99,0.2,0.7,0.99,0.99,1000,-1.0,-66.062,66.062,1.0,1.619081974029541
17,0.99,0.2,0.7,0.99,0.99,1000,-1.0,-77.538,77.538,0.992,1.6734976768493652
18,0.99,0.2,0.7,0.99,0.99,1000,-1.0,-67.6,67.6,1.0,1.6206178665161133
19,0.99,0.2,0.7,0.99,0.99,1000,-1.0,-67.174,67.174,1.0,1.6411521434783936
