run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.9,0.8,0.9,0.95,0.99,1000,-1.0,-76.404,76.404,0.998,1.5598640441894531
1,0.9,0.8,0.9,0.95,0.99,1000,-1.0,-68.832,68.832,0.998,1.5906226634979248
2,0.9,0.8,0.9,0.95,0.99,1000,-1.0,-79.474,79.474,0.982,1.6018471717834473
3,0.9,0.8,0.9,0.95,0.99,1000,-1.0,-68.22,68.22,1.0,1.5781211853027344
4,0.9,0.8,0.9,0.95,0.99,1000,-1.0,-73.324,73.324,0.992,1.599534511566162
5,0.9,0.8,0.9,0.95,0.99,1000,-1.0,-72.178,72.178,0.998,1.607421636581421
6,0.9,0.8,0.9,0.95,0.99,1000,-1.0,-74.49,74.49,0.992,1.6330816745758057
7,0.9,0.8,0.9,0.95,0.99,1000,-1.0,-69.294,69.294,0.998,1.5994865894317627
8,0.9,0.8,0.9,0.95,0.99,1000,-1.0,-65.358,65.358,1.0,1.6281304359436035
9,0.9,0.8,0.9,0.95,0.99,1000,-1.0,-69.164,69.164,0.998,1.6590352058410645
10,0.9,0.8,0.9,0.95,0.99,1000,-1.0,-68.896,68.896,0.998,1.5908381938934326
11,0.9,0.8,0.9,0.95,0.99,1000,-1.0,-73.168,73.168,0.996,1.5888071060180664
12,0.9,0.8,0.9,0.95,0.99,1000,-1.0,-80.92,80.92,0.994,1.6087193489074707
13,0.9,0.8,0.9,0.95,0.99,1000,-1.0,-69.074,69.074,0.996,1.582672357559204
14,0.9,0.8,0.9,0.95,0.99,1000,-1.0,-70.702,70.702,1.0,1.642282247543335
15,0.9,0.8,0.9,0.95,0.99,1000,-1.0,-71.322,71.322,0.992,1.6301567554473877
16,0.9,0.8,0.9,0.95,0.99,1000,-1.0,-85.396,85.396,0.978,1.655683994293213
17,0.9,0.8,0.9,0.95,0.99,1000,-1.0,-69.258,69.258,0.998,1.6234455108642578
18,0.9,0.8,0.9,0.95,0.99,1000,-1.0,-70.468,70.468,0.994,1.5984528064727783
19,0.9,0.8,0.9,0.95,0.99,1000,-1.0,-86.588,86.588,0.974,1.664721965789795
