run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.99,0.2,0.95,0.8,0.995,1000,-1.0,-72.324,72.324,1.0,1.6528778076171875
1,0.99,0.2,0.95,0.8,0.995,1000,-1.0,-67.29,67.29,1.0,1.6884725093841553
2,0.99,0.2,0.95,0.8,0.995,1000,-1.0,-71.844,71.844,0.998,1.6168043613433838
3,0.99,0.2,0.95,0.8,0.995,1000,-1.0,-65.25,65.25,0.998,1.6435585021972656
4,0.99,0.2,0.95,0.8,0.995,1000,-1.0,-70.002,70.002,0.996,1.6284353733062744
5,0.99,0.2,0.95,0.8,0.995,1000,-1.0,-76.088,76.088,0.988,1.6233086585998535
6,0.99,0.2,0.95,0.8,0.995,1000,-1.0,-90.254,90.254,0.978,1.6271862983703613
7,0.99,0.2,0.95,0.8,0.995,1000,-1.0,-65.096,65.096,1.0,1.638347864151001
8,0.99,0.2,0.95,0.8,0.995,1000,-1.0,-71.224,71.224,1.0,1.6349217891693115
9,0.99,0.2,0.95,0.8,0.995,1000,-1.0,-70.858,70.858,1.0,1.6099021434783936
10,0.99,0.2,0.95,0.8,0.995,1000,-1.0,-87.76,87.76,0.994,1.6073036193847656
11,0.99,0.2,0.95,0.8,0.995,1000,-1.0,-66.536,66.536,1.0,1.6329638957977295
12,0.99,0.2,0.95,0.8,0.995,1000,-1.0,-76.738,76.738,1.0,1.649001121520996
13,0.99,0.2,0.95,0.8,0.995,1000,-1.0,-65.58,65.58,1.0,1.5893490314483643
14,0.99,0.2,0.95,0.8,0.995,1000,-1.0,-78.136,78.136,0.994,1.6364946365356445
15,0.99,0.2,0.95,0.8,0.995,1000,-1.0,-69.344,69.344,0.996,1.6081831455230713
16,0.99,0.2,0.95,0.8,0.995,1000,-1.0,-73.084,73.084,0.998,1.578047513961792
17,0.99,0.2,0.95,0.8,0.995,1000,-1.0,-69.702,69.702,0.996,1.616762399673462
18,0.99,0.2,0.95,0.8,0.995,1000,-1.0,-72.55,72.55,1.0,1.6441550254821777
19,0.99,0.2,0.95,0.8,0.995,1000,-1.0,-73.006,73.006,0.994,1.5994067192077637
