run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.5,0.5,0.9,0.95,0.99,1000,-1.0,-85.676,85.676,0.98,1.8265011310577393
1,0.5,0.5,0.9,0.95,0.99,1000,-1.0,-78.52,78.52,0.994,1.8516442775726318
2,0.5,0.5,0.9,0.95,0.99,1000,-1.0,-107.184,107.184,0.89,1.7794506549835205
3,0.5,0.5,0.9,0.95,0.99,1000,-1.0,-83.78,83.78,0.978,1.8853528499603271
4,0.5,0.5,0.9,0.95,0.99,1000,-1.0,-92.026,92.026,0.948,1.8196370601654053
5,0.5,0.5,0.9,0.95,0.99,1000,-1.0,-106.382,106.382,0.888,1.8109517097473145
6,0.5,0.5,0.9,0.95,0.99,1000,-1.0,-87.752,87.752,0.974,1.8814682960510254
7,0.5,0.5,0.9,0.95,0.99,1000,-1.0,-74.252,74.252,1.0,1.820267915725708
8,0.5,0.5,0.9,0.95,0.99,1000,-1.0,-80.208,80.208,0.992,1.8161962032318115
9,0.5,0.5,0.9,0.95,0.99,1000,-1.0,-95.988,95.988,0.94,1.859001874923706
10,0.5,0.5,0.9,0.95,0.99,1000,-1.0,-83.062,83.062,0.992,1.9510796070098877
11,0.5,0.5,0.9,0.95,0.99,1000,-1.0,-94.852,94.852,0.962,1.8099963665008545
12,0.5,0.5,0.9,0.95,0.99,1000,-1.0,-83.17,83.17,0.986,1.8159890174865723
13,0.5,0.5,0.9,0.95,0.99,1000,-1.0,-102.072,102.072,0.938,1.8625578880310059
14,0.5,0.5,0.9,0.95,0.99,1000,-1.0,-90.75,90.75,0.942,1.878896713256836
15,0.5,0.5,0.9,0.95,0.99,1000,-1.0,-83.432,83.432,0.996,1.855715274810791
16,0.5,0.5,0.9,0.95,0.99,1000,-1.0,-87.496,87.496,0.97,1.808678388595581
17,0.5,0.5,0.9,0.95,0.99,1000,-1.0,-101.584,101.584,0.938,1.8452560901641846
18,0.5,0.5,0.9,0.95,0.99,1000,-1.0,-89.916,89.916,0.96,1.7972886562347412
19,0.5,0.5,0.9,0.95,0.99,1000,-1.0,-73.48,73.48,0.994,1.823836088180542
