run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.99,0.5,0.95,0.8,0.99,1000,-1.0,-72.048,72.048,0.998,1.606821060180664
1,0.99,0.5,0.95,0.8,0.99,1000,-1.0,-68.804,68.804,0.998,1.6307435035705566
2,0.99,0.5,0.95,0.8,0.99,1000,-1.0,-63.978,63.978,1.0,1.64227294921875
3,0.99,0.5,0.95,0.8,0.99,1000,-1.0,-72.878,72.878,0.998,1.6167652606964111
4,0.99,0.5,0.95,0.8,0.99,1000,-1.0,-67.866,67.866,1.0,1.599623203277588
5,0.99,0.5,0.95,0.8,0.99,1000,-1.0,-72.762,72.762,1.0,1.6177079677581787
6,0.99,0.5,0.95,0.8,0.99,1000,-1.0,-67.338,67.338,1.0,1.6223273277282715
7,0.99,0.5,0.95,0.8,0.99,1000,-1.0,-68.314,68.314,1.0,1.5326347351074219
8,0.99,0.5,0.95,0.8,0.99,1000,-1.0,-67.568,67.568,1.0,1.5859103202819824
9,0.99,0.5,0.95,0.8,0.99,1000,-1.0,-65.264,65.264,1.0,1.5692431926727295
10,0.99,0.5,0.95,0.8,0.99,1000,-1.0,-66.074,66.074,1.0,1.558894157409668
11,0.99,0.5,0.95,0.8,0.99,1000,-1.0,-73.222,73.222,0.998,1.5861992835998535
12,0.99,0.5,0.95,0.8,0.99,1000,-1.0,-68.094,68.094,1.0,1.580916404724121
13,0.99,0.5,0.95,0.8,0.99,1000,-1.0,-66.534,66.534,1.0,1.615476131439209
14,0.99,0.5,0.95,0.8,0.99,1000,-1.0,-68.208,68.208,1.0,1.5858798027038574
15,0.99,0.5,0.95,0.8,0.99,1000,-1.0,-73.15,73.15,0.998,1.6608450412750244
16,0.99,0.5,0.95,0.8,0.99,1000,-1.0,-77.398,77.398,0.992,1.6173577308654785
17,0.99,0.5,0.95,0.8,0.99,1000,-1.0,-67.292,67.292,0.996,1.625040054321289
18,0.99,0.5,0.95,0.8,0.99,1000,-1.0,-63.742,63.742,1.0,1.6159491539001465
19,0.99,0.5,0.95,0.8,0.99,1000,-1.0,-66.176,66.176,0.998,1.63006591796875
