run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.99,0.8,0.95,0.8,0.999,1000,-1.0,-74.444,74.444,0.998,1.4400486946105957
1,0.99,0.8,0.95,0.8,0.999,1000,-1.0,-82.934,82.934,0.986,1.4700636863708496
2,0.99,0.8,0.95,0.8,0.999,1000,-1.0,-81.418,81.418,0.988,1.4982945919036865
3,0.99,0.8,0.95,0.8,0.999,1000,-1.0,-83.794,83.794,0.98,1.466054916381836
4,0.99,0.8,0.95,0.8,0.999,1000,-1.0,-71.688,71.688,1.0,1.4718515872955322
5,0.99,0.8,0.95,0.8,0.999,1000,-1.0,-68.684,68.684,0.998,1.431046724319458
6,0.99,0.8,0.95,0.8,0.999,1000,-1.0,-66.374,66.374,1.0,1.473496675491333
7,0.99,0.8,0.95,0.8,0.999,1000,-1.0,-66.64,66.64,1.0,1.4624090194702148
8,0.99,0.8,0.95,0.8,0.999,1000,-1.0,-66.98,66.98,1.0,1.471855878829956
9,0.99,0.8,0.95,0.8,0.999,1000,-1.0,-66.836,66.836,1.0,1.4824316501617432
10,0.99,0.8,0.95,0.8,0.999,1000,-1.0,-65.672,65.672,0.998,1.395132303237915
11,0.99,0.8,0.95,0.8,0.999,1000,-1.0,-66.184,66.184,0.998,1.443824052810669
12,0.99,0.8,0.95,0.8,0.999,1000,-1.0,-65.228,65.228,1.0,1.4053754806518555
13,0.99,0.8,0.95,0.8,0.999,1000,-1.0,-81.224,81.224,0.992,1.5043070316314697
14,0.99,0.8,0.95,0.8,0.999,1000,-1.0,-73.982,73.982,0.996,1.4477159976959229
15,0.99,0.8,0.95,0.8,0.999,1000,-1.0,-71.96,71.96,1.0,1.457066297531128
16,0.99,0.8,0.95,0.8,0.999,1000,-1.0,-68.666,68.666,0.998,1.4688704013824463
17,0.99,0.8,0.95,0.8,0.999,1000,-1.0,-70.914,70.914,1.0,1.4816291332244873
18,0.99,0.8,0.95,0.8,0.999,1000,-1.0,-67.59,67.59,0.998,1.503624677658081
19,0.99,0.8,0.95,0.8,0.999,1000,-1.0,-69.18,69.18,1.0,1.394010305404663
