run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.99,0.2,0.99,0.95,0.99,1000,-1.0,-77.364,77.364,0.996,1.6693317890167236
1,0.99,0.2,0.99,0.95,0.99,1000,-1.0,-79.3,79.3,0.992,1.6847164630889893
2,0.99,0.2,0.99,0.95,0.99,1000,-1.0,-76.78,76.78,0.994,1.612518310546875
3,0.99,0.2,0.99,0.95,0.99,1000,-1.0,-70.478,70.478,1.0,1.7181768417358398
4,0.99,0.2,0.99,0.95,0.99,1000,-1.0,-70.216,70.216,0.994,1.6405203342437744
5,0.99,0.2,0.99,0.95,0.99,1000,-1.0,-66.816,66.816,0.998,1.643836259841919
6,0.99,0.2,0.99,0.95,0.99,1000,-1.0,-82.446,82.446,0.994,1.5876970291137695
7,0.99,0.2,0.99,0.95,0.99,1000,-1.0,-81.308,81.308,0.99,1.6561315059661865
8,0.99,0.2,0.99,0.95,0.99,1000,-1.0,-75.828,75.828,0.992,1.5966408252716064
9,0.99,0.2,0.99,0.95,0.99,1000,-1.0,-70.826,70.826,0.992,1.6267893314361572
10,0.99,0.2,0.99,0.95,0.99,1000,-1.0,-69.042,69.042,1.0,1.7013466358184814
11,0.99,0.2,0.99,0.95,0.99,1000,-1.0,-77.414,77.414,0.992,1.7111716270446777
12,0.99,0.2,0.99,0.95,0.99,1000,-1.0,-69.916,69.916,0.998,1.5915436744689941
13,0.99,0.2,0.99,0.95,0.99,1000,-1.0,-72.27,72.27,0.998,1.644688606262207
14,0.99,0.2,0.99,0.95,0.99,1000,-1.0,-75.62,75.62,0.992,1.6631708145141602
15,0.99,0.2,0.99,0.95,0.99,1000,-1.0,-74.744,74.744,0.998,1.647306203842163
16,0.99,0.2,0.99,0.95,0.99,1000,-1.0,-74.318,74.318,0.996,1.663851261138916
17,0.99,0.2,0.99,0.95,0.99,1000,-1.0,-68.178,68.178,1.0,1.608619213104248
18,0.99,0.2,0.99,0.95,0.99,1000,-1.0,-72.142,72.142,0.996,1.6536502838134766
19,0.99,0.2,0.99,0.95,0.99,1000,-1.0,-84.242,84.242,0.976,1.6756958961486816
