run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.99,0.2,0.95,0.9,0.99,1000,-1.0,-85.812,85.812,0.958,1.6550450325012207
1,0.99,0.2,0.95,0.9,0.99,1000,-1.0,-66.798,66.798,1.0,1.6642255783081055
2,0.99,0.2,0.95,0.9,0.99,1000,-1.0,-72.0,72.0,0.998,1.6186277866363525
3,0.99,0.2,0.95,0.9,0.99,1000,-1.0,-66.478,66.478,1.0,1.6971228122711182
4,0.99,0.2,0.95,0.9,0.99,1000,-1.0,-72.95,72.95,0.992,1.6266608238220215
5,0.99,0.2,0.95,0.9,0.99,1000,-1.0,-67.402,67.402,1.0,1.66605544090271
6,0.99,0.2,0.95,0.9,0.99,1000,-1.0,-66.68,66.68,1.0,1.6222352981567383
7,0.99,0.2,0.95,0.9,0.99,1000,-1.0,-66.668,66.668,1.0,1.6358404159545898
8,0.99,0.2,0.95,0.9,0.99,1000,-1.0,-63.916,63.916,1.0,1.6093971729278564
9,0.99,0.2,0.95,0.9,0.99,1000,-1.0,-67.176,67.176,0.998,1.657940149307251
10,0.99,0.2,0.95,0.9,0.99,1000,-1.0,-66.528,66.528,1.0,1.6303691864013672
11,0.99,0.2,0.95,0.9,0.99,1000,-1.0,-63.758,63.758,1.0,1.6107120513916016
12,0.99,0.2,0.95,0.9,0.99,1000,-1.0,-67.712,67.712,1.0,1.5988764762878418
13,0.99,0.2,0.95,0.9,0.99,1000,-1.0,-70.068,70.068,0.998,1.6872761249542236
14,0.99,0.2,0.95,0.9,0.99,1000,-1.0,-68.922,68.922,1.0,1.6265127658843994
15,0.99,0.2,0.95,0.9,0.99,1000,-1.0,-66.182,66.182,0.994,1.6745452880859375
16,0.99,0.2,0.95,0.9,0.99,1000,-1.0,-67.038,67.038,0.998,1.6789734363555908
17,0.99,0.2,0.95,0.9,0.99,1000,-1.0,-70.966,70.966,0.994,1.653601884841919
18,0.99,0.2,0.95,0.9,0.99,1000,-1.0,-70.88,70.88,0.996,1.6381640434265137
19,0.99,0.2,0.95,0.9,0.99,1000,-1.0,-67.706,67.706,1.0,1.6202216148376465
