run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.99,0.5,0.95,0.8,0.95,10000,-10.0,-97.63,71.692,0.998,12.45688509941101
1,0.99,0.5,0.95,0.8,0.95,10000,-10.0,-91.904,65.372,0.998,12.451454639434814
2,0.99,0.5,0.95,0.8,0.95,10000,-10.0,-98.276,70.43,0.998,12.316263198852539
3,0.99,0.5,0.95,0.8,0.95,10000,-10.0,-91.856,64.676,1.0,12.34523892402649
4,0.99,0.5,0.95,0.8,0.95,10000,-10.0,-106.576,79.9,0.984,12.210525512695312
5,0.99,0.5,0.95,0.8,0.95,10000,-10.0,-101.386,74.17,1.0,12.539962768554688
6,0.99,0.5,0.95,0.8,0.95,10000,-10.0,-95.646,67.764,0.996,12.146237850189209
7,0.99,0.5,0.95,0.8,0.95,10000,-10.0,-97.004,69.05,1.0,12.402249813079834
8,0.99,0.5,0.95,0.8,0.95,10000,-10.0,-99.696,73.02,0.998,12.251507997512817
9,0.99,0.5,0.95,0.8,0.95,10000,-10.0,-98.124,71.898,0.996,12.160064458847046
10,0.99,0.5,0.95,0.8,0.95,10000,-10.0,-97.662,70.446,0.994,12.308713912963867
11,0.99,0.5,0.95,0.8,0.95,10000,-10.0,-96.066,69.858,0.996,12.512492179870605
12,0.99,0.5,0.95,0.8,0.95,10000,-10.0,-93.546,65.322,1.0,12.35895562171936
13,0.99,0.5,0.95,0.8,0.95,10000,-10.0,-93.414,67.35,1.0,12.475290298461914
14,0.99,0.5,0.95,0.8,0.95,10000,-10.0,-96.348,70.41,0.998,12.357406377792358
15,0.99,0.5,0.95,0.8,0.95,10000,-10.0,-166.898,64.532,0.998,12.461625337600708
16,0.99,0.5,0.95,0.8,0.95,10000,-10.0,-96.472,68.482,0.998,12.263646841049194
17,0.99,0.5,0.95,0.8,0.95,10000,-10.0,-99.924,72.492,0.994,12.565225601196289
18,0.99,0.5,0.95,0.8,0.95,10000,-10.0,-92.526,65.832,0.998,12.527295112609863
19,0.99,0.5,0.95,0.8,0.95,10000,-10.0,-98.82,72.216,0.998,12.413515567779541
