run,gamma,learning_rate,initial_epsilon,epsilon_decay,learning_rate_decay,training_episodes,left_penalty,mean_reward,mean_steps,success_rate,training_time
0,0.99,0.2,0.7,0.9,0.99,1000,-1.0,-66.792,66.792,0.998,1.6300652027130127
1,0.99,0.2,0.7,0.9,0.99,1000,-1.0,-77.988,77.988,0.99,1.6058402061462402
2,0.99,0.2,0.7,0.9,0.99,1000,-1.0,-74.944,74.944,0.994,1.6178302764892578
3,0.99,0.2,0.7,0.9,0.99,1000,-1.0,-69.326,69.326,1.0,1.6201770305633545
4,0.99,0.2,0.7,0.9,0.99,1000,-1.0,-65.748,65.748,1.0,1.6058671474456787
5,0.99,0.2,0.7,0.9,0.99,1000,-1.0,-65.954,65.954,1.0,1.6093316078186035
6,0.99,0.2,0.7,0.9,0.99,1000,-1.0,-73.27,73.27,0.998,1.6707165241241455
7,0.99,0.2,0.7,0.9,0.99,1000,-1.0,-95.23,95.23,0.936,1.6037960052490234
8,0.99,0.2,0.7,0.9,0.99,1000,-1.0,-74.554,74.554,0.994,1.6152229309082031
9,0.99,0.2,0.7,0.9,0.99,1000,-1.0,-71.16,71.16,1.0,1.6193230152130127
10,0.99,0.2,0.7,0.9,0.99,1000,-1.0,-94.236,94.236,0.978,1.625366449356079
11,0.99,0.2,0.7,0.9,0.99,1000,-1.0,-66.49,66.49,0.998,1.6171739101409912
12,0.99,0.2,0.7,0.9,0.99,1000,-1.0,-72.99,72.99,1.0,1.58205246925354
13,0.99,0.2,0.7,0.9,0.99,1000,-1.0,-72.266,72.266,1.0,1.583061933517456
14,0.99,0.2,0.7,0.9,0.99,1000,-1.0,-80.892,80.892,0.984,1.5647692680358887
15,0.99,0.2,0.7,0.9,0.99,1000,-1.0,-81.644,81.644,0.99,1.5963585376739502
16,0.99,0.2,0.7,0.9,0.99,1000,-1.0,-77.416,77.416,0.988,1.6052825450897217
17,0.99,0.2,0.7,0.9,0.99,1000,-1.0,-108.272,108.272,0.9,1.6331264972686768
18,0.99,0.2,0.7,0.9,0.99,1000,-1.0,-71.884,71.884,1.0,1.6023774147033691
19,0.99,0.2,0.7,0.9,0.99,1000,-1.0,-71.918,71.918,1.0,1.6645164489746094
